family,metric,cell,contrast,n,med_delta,t_p,w_p
pooled,rho_pooled_tune_ratepart,DG,expert-naive,8,-0.1677,0.62475,0.64062
pooled,rho_pooled_tune_ratepart,DG,intermediate-naive,8,-0.1352,0.16165,0.3125
pooled,rho_pooled_tune_ratepart,DG,expert-intermediate,8,0.1865,0.32179,0.64062
pooled,rho_pooled_tune_ratepart,SUB,expert-naive,4,0.3236,0.18836,0.25
pooled,rho_pooled_tune_ratepart,SUB,intermediate-naive,4,0.1887,0.32788,0.375
pooled,rho_pooled_tune_ratepart,SUB,expert-intermediate,4,-0.1447,0.73321,0.875
pooled,rho_pooled_tune_ratepart,RSC,expert-naive,8,0.02,0.60008,0.94531
pooled,rho_pooled_tune_ratepart,RSC,intermediate-naive,8,0.05,0.2736,0.3125
pooled,rho_pooled_tune_ratepart,RSC,expert-intermediate,8,-0.03,0.3761,0.54688
pooled,rho_pooled_tune_ratepart,V1,expert-naive,10,0.1061,0.96526,0.625
pooled,rho_pooled_tune_ratepart,V1,intermediate-naive,10,0.1613,0.06111,0.08398
pooled,rho_pooled_tune_ratepart,V1,expert-intermediate,10,-0.0332,0.28062,0.375
overlap,rho_conn,CA1,expert-naive,9,-0.0013,0.92712,1.0
overlap,rho_conn,CA1,intermediate-naive,9,-0.0626,0.17348,0.35938
overlap,rho_conn,CA1,expert-intermediate,9,0.1655,0.28684,0.16406
overlap,rho_conn,CA3,expert-naive,4,-0.098,0.6692,0.625
overlap,rho_conn,CA3,intermediate-naive,4,0.1544,0.52085,0.625
overlap,rho_conn,CA3,expert-intermediate,4,-0.1153,0.40924,0.625
overlap,rho_conn,DG,expert-naive,4,-0.0411,0.6774,0.875
overlap,rho_conn,DG,intermediate-naive,4,0.0075,0.9096,0.875
overlap,rho_conn,DG,expert-intermediate,4,-0.1623,0.61195,0.875
overlap,rho_conn,SUB,expert-naive,4,-0.1426,0.11272,0.125
overlap,rho_conn,SUB,intermediate-naive,4,-0.0333,0.99665,1.0
overlap,rho_conn,SUB,expert-intermediate,4,-0.3288,0.51703,0.625
overlap,rho_conn,RSC,expert-naive,6,-0.3848,0.00533,0.03125
overlap,rho_conn,RSC,intermediate-naive,6,-0.3973,0.0023,0.03125
overlap,rho_conn,RSC,expert-intermediate,6,0.1554,0.17069,0.21875
overlap,rho_conn,V1,expert-naive,6,-0.0488,0.45329,0.6875
overlap,rho_conn,V1,intermediate-naive,6,-0.225,0.5853,0.6875
overlap,rho_conn,V1,expert-intermediate,6,-0.0901,0.76588,0.84375
overlap,rho_resid,CA1,expert-naive,9,-0.0896,0.58258,0.57031
overlap,rho_resid,CA1,intermediate-naive,9,0.0132,0.97433,1.0
